Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,7.020000,7.095000,6.920000,7.040000,7.040000,4141300
2021-10-05,7.000000,7.450000,6.980000,7.300000,7.300000,5011000
2021-10-06,7.180000,7.400000,7.180000,7.350000,7.350000,3260100
2021-10-07,7.420000,7.500000,7.230000,7.380000,7.380000,3162800
2021-10-08,7.370000,7.600000,7.170000,7.210000,7.210000,3932200
2021-10-11,7.170000,7.220000,7.010000,7.010000,7.010000,1903700
2021-10-12,7.090000,7.170000,6.970000,7.020000,7.020000,2073800
2021-10-13,7.090000,7.170000,7.000000,7.110000,7.110000,1730900
2021-10-14,7.170000,7.440000,7.140000,7.260000,7.260000,3378300
2021-10-15,7.277000,7.290000,7.010000,7.030000,7.030000,2765300
2021-10-18,7.010000,7.030000,6.870000,6.920000,6.920000,3212700
2021-10-19,6.950000,7.450000,6.905000,7.450000,7.450000,5392400
2021-10-20,7.403000,7.800000,7.300000,7.660000,7.660000,7013500
2021-10-21,7.600000,7.880000,7.370000,7.370000,7.370000,5693300
2021-10-22,7.330000,7.390000,7.040000,7.070000,7.070000,3465700
2021-10-25,7.070000,7.240000,7.030000,7.180000,7.180000,2620400
2021-10-26,7.210000,7.270000,6.880000,7.030000,7.030000,5378800
2021-10-27,7.010000,7.100000,6.790000,6.840000,6.840000,3129400
2021-10-28,6.850000,7.000000,6.810000,6.880000,6.880000,2371800
2021-10-29,6.890000,7.000000,6.630000,6.630000,6.630000,2863000
2021-11-01,6.700000,7.080000,6.562000,6.990000,6.990000,3819900
2021-11-02,6.980000,6.980000,6.780000,6.900000,6.900000,2454900
2021-11-03,6.880000,7.160000,6.811000,6.940000,6.940000,4095900
2021-11-04,7.010000,7.070000,6.780000,6.850000,6.850000,3208900
2021-11-05,6.830000,6.840000,6.430000,6.660000,6.660000,6723900
2021-11-08,6.620000,7.330000,6.620000,7.300000,7.300000,11837300
2021-11-09,7.220000,7.590000,6.940000,7.480000,7.480000,7869700
2021-11-10,7.050000,7.500000,6.980000,7.100000,7.100000,6218500
2021-11-11,7.120000,7.660000,7.090000,7.570000,7.570000,6070700
2021-11-12,7.750000,8.580000,7.730000,8.500000,8.500000,19251400
2021-11-15,8.610000,8.690000,8.075000,8.110000,8.110000,14281800
2021-11-16,8.060000,8.470000,7.780000,8.320000,8.320000,7032200
2021-11-17,8.210000,8.400000,7.840000,7.890000,7.890000,6631100
2021-11-18,7.860000,7.940000,6.980000,7.010000,7.010000,9810000
2021-11-19,7.290000,7.390000,6.980000,7.040000,7.040000,5401800
2021-11-22,7.050000,7.068000,6.595000,6.700000,6.700000,6519900
2021-11-23,6.720000,6.880000,6.520000,6.630000,6.630000,4861700
2021-11-24,6.630000,6.940000,6.480000,6.780000,6.780000,4687500
2021-11-26,6.500000,6.800000,6.490000,6.790000,6.790000,3386100
2021-11-29,6.816000,6.840000,6.390000,6.440000,6.440000,6041200
2021-11-30,6.405000,6.631000,6.100000,6.420000,6.420000,4554000
2021-12-01,6.510000,6.540000,5.970000,6.010000,6.010000,5549000
2021-12-02,6.000000,6.250000,5.900000,6.140000,6.140000,7263500
2021-12-03,6.110000,6.160000,5.730000,5.820000,5.820000,5840200
2021-12-06,5.770000,6.090000,5.550000,5.970000,5.970000,5358700
2021-12-07,6.111000,6.490000,6.000000,6.380000,6.380000,4829000
2021-12-08,6.380000,6.740000,6.225000,6.570000,6.570000,3954400
2021-12-09,6.530000,6.665000,6.220000,6.280000,6.280000,3042900
2021-12-10,6.290000,6.480000,6.060000,6.120000,6.120000,2997100
2021-12-13,6.135000,6.135000,5.855000,5.990000,5.990000,3199300
2021-12-14,5.890000,6.090000,5.835000,5.870000,5.870000,3528800
2021-12-15,5.850000,5.870000,5.423000,5.780000,5.780000,6450500
2021-12-16,5.860000,5.960000,5.630000,5.720000,5.720000,4319900
2021-12-17,5.630000,5.950000,5.543000,5.850000,5.850000,4024100
2021-12-20,5.700000,5.790000,5.530000,5.660000,5.660000,3678200
2021-12-21,5.680000,6.035000,5.670000,5.950000,5.950000,4298400
2021-12-22,5.910000,6.010000,5.750000,5.930000,5.930000,2991900
2021-12-23,5.910000,6.188000,5.855000,6.120000,6.120000,4050200
2021-12-27,6.070000,6.100000,5.880000,5.940000,5.940000,3964200
2021-12-28,5.880000,6.050000,5.710000,5.730000,5.730000,3673500
2021-12-29,5.700000,5.850000,5.420000,5.450000,5.450000,8242700
2021-12-30,5.450000,5.719000,5.430000,5.500000,5.500000,6141000
2021-12-31,5.519000,5.688000,5.390000,5.410000,5.410000,4716800
2022-01-03,5.510000,5.970000,5.450000,5.750000,5.750000,5207000
2022-01-04,5.750000,5.830000,5.540000,5.770000,5.770000,4137000
2022-01-05,5.750000,5.870000,5.430000,5.450000,5.450000,4337400
2022-01-06,5.470000,5.590000,5.220000,5.370000,5.370000,4924300
2022-01-07,5.390000,5.700000,5.390000,5.510000,5.510000,5851900
2022-01-10,5.590000,5.835000,5.410000,5.760000,5.760000,9293000
2022-01-11,5.660000,6.050000,5.635000,5.890000,5.890000,6060200
2022-01-12,5.950000,6.030000,5.743000,5.760000,5.760000,5084800
2022-01-13,5.760000,5.800000,5.530000,5.540000,5.540000,4056400
2022-01-14,5.500000,5.580000,5.380000,5.510000,5.510000,5808000
2022-01-18,5.500000,5.500000,5.110000,5.110000,5.110000,7419400
2022-01-19,5.150000,5.200000,4.850000,4.860000,4.860000,7596600
2022-01-20,4.910000,5.110000,4.740000,4.750000,4.750000,6937800
2022-01-21,4.700000,4.740000,4.411000,4.460000,4.460000,6445600
2022-01-24,4.370000,4.385000,3.965000,4.320000,4.320000,16513600
2022-01-25,4.240000,4.330000,4.050000,4.210000,4.210000,5364400
2022-01-26,4.330000,4.370000,4.000000,4.060000,4.060000,7823800
2022-01-27,4.080000,4.091000,3.770000,3.790000,3.790000,7487400
2022-01-28,3.780000,3.940000,3.710000,3.910000,3.910000,6932500
2022-01-31,3.925000,4.270000,3.870000,4.160000,4.160000,7851200
2022-02-01,4.240000,4.560000,4.140000,4.470000,4.470000,5623600
2022-02-02,4.500000,4.515000,4.230000,4.260000,4.260000,4132600
2022-02-03,4.140000,4.220000,3.950000,3.960000,3.960000,4458800
