Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,2.360000,2.360000,2.250000,2.260000,2.260000,47800
2021-10-05,2.250000,2.290000,2.190000,2.230000,2.230000,53900
2021-10-06,2.230000,2.230000,2.120000,2.170000,2.170000,64400
2021-10-07,2.300000,2.300000,2.170000,2.220000,2.220000,40900
2021-10-08,2.220000,2.220000,2.160000,2.200000,2.200000,30000
2021-10-11,2.210000,2.210000,2.100000,2.180000,2.180000,28800
2021-10-12,2.150000,2.180000,2.100000,2.140000,2.140000,39300
2021-10-13,2.110000,2.190000,2.110000,2.180000,2.180000,74500
2021-10-14,2.160000,2.200000,2.130000,2.170000,2.170000,35300
2021-10-15,2.210000,2.210000,2.150000,2.190000,2.190000,28300
2021-10-18,2.090000,2.180000,2.090000,2.130000,2.130000,48000
2021-10-19,2.170000,2.230000,2.120000,2.210000,2.210000,45800
2021-10-20,2.200000,2.200000,2.170000,2.190000,2.190000,23500
2021-10-21,2.150000,2.310000,2.150000,2.270000,2.270000,147100
2021-10-22,2.220000,2.290000,2.170000,2.290000,2.290000,55900
2021-10-25,2.230000,2.300000,2.220000,2.270000,2.270000,54200
2021-10-26,2.300000,2.300000,2.220000,2.250000,2.250000,42900
2021-10-27,2.210000,2.240000,2.170000,2.170000,2.170000,45200
2021-10-28,2.160000,2.400000,2.160000,2.310000,2.310000,209000
2021-10-29,2.340000,2.360000,2.250000,2.260000,2.260000,97000
2021-11-01,2.250000,2.290000,2.180000,2.230000,2.230000,150400
2021-11-02,2.250000,2.280000,2.150000,2.230000,2.230000,88600
2021-11-03,2.210000,2.340000,2.200000,2.290000,2.290000,75500
2021-11-04,2.300000,2.440000,2.180000,2.210000,2.210000,284400
2021-11-05,2.240000,2.280000,2.200000,2.220000,2.220000,60900
2021-11-08,2.290000,2.300000,2.200000,2.270000,2.270000,111500
2021-11-09,2.300000,2.390000,2.240000,2.320000,2.320000,157800
2021-11-10,2.330000,2.360000,2.230000,2.250000,2.250000,98100
2021-11-11,2.230000,2.240000,2.180000,2.200000,2.200000,77100
2021-11-12,2.210000,2.250000,2.190000,2.230000,2.230000,63200
2021-11-15,2.210000,2.240000,2.100000,2.130000,2.130000,150100
2021-11-16,2.180000,2.180000,2.030000,2.100000,2.100000,124800
2021-11-17,2.010000,2.050000,1.850000,1.850000,1.850000,193100
2021-11-18,1.870000,2.090000,1.860000,2.060000,2.060000,131900
2021-11-19,2.090000,2.110000,1.910000,1.990000,1.990000,102000
2021-11-22,2.050000,2.050000,1.910000,1.960000,1.960000,92600
2021-11-23,1.920000,1.950000,1.870000,1.880000,1.880000,53900
2021-11-24,1.870000,1.900000,1.810000,1.860000,1.860000,82400
2021-11-26,1.860000,1.920000,1.800000,1.870000,1.870000,94200
2021-11-29,1.870000,1.890000,1.850000,1.850000,1.850000,63500
2021-11-30,1.800000,1.850000,1.790000,1.840000,1.840000,48100
2021-12-01,1.810000,1.900000,1.800000,1.810000,1.810000,61100
2021-12-02,1.770000,1.800000,1.680000,1.710000,1.710000,120200
2021-12-03,1.730000,1.780000,1.600000,1.640000,1.640000,71100
2021-12-06,1.700000,1.700000,1.630000,1.690000,1.690000,50600
2021-12-07,1.750000,1.800000,1.690000,1.780000,1.780000,82200
2021-12-08,1.830000,1.870000,1.780000,1.870000,1.870000,30900
2021-12-09,1.880000,1.900000,1.860000,1.870000,1.870000,22200
2021-12-10,1.900000,1.900000,1.760000,1.810000,1.810000,29100
2021-12-13,1.830000,2.020000,1.710000,1.920000,1.920000,214900
2021-12-14,1.880000,1.880000,1.590000,1.660000,1.660000,143000
2021-12-15,1.620000,1.770000,1.600000,1.720000,1.720000,74200
2021-12-16,1.720000,1.790000,1.690000,1.740000,1.740000,301600
2021-12-17,1.600000,1.640000,1.520000,1.600000,1.600000,237500
2021-12-20,1.550000,1.610000,1.500000,1.560000,1.560000,115100
