Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,9.290000,9.450000,9.013000,9.070000,9.070000,2660900
2021-10-05,9.130000,9.210000,8.990000,9.150000,9.150000,1782900
2021-10-06,9.010000,9.080000,8.800000,8.870000,8.870000,2395500
2021-10-07,8.970000,9.100000,8.900000,8.910000,8.910000,1627400
2021-10-08,8.920000,8.960000,8.650000,8.650000,8.650000,1985400
2021-10-11,8.670000,9.066000,8.655000,8.740000,8.740000,2114000
2021-10-12,8.847000,8.940000,8.770000,8.800000,8.800000,1688600
2021-10-13,8.830000,8.940000,8.810000,8.920000,8.920000,1067600
2021-10-14,8.970000,9.110000,8.900000,9.020000,9.020000,2985600
2021-10-15,9.110000,9.139000,8.830000,8.830000,8.830000,2386400
2021-10-18,8.770000,9.090000,8.750000,9.060000,9.060000,1876000
2021-10-19,9.140000,9.190000,8.980000,9.130000,9.130000,1371000
2021-10-20,9.130000,9.270000,9.100000,9.150000,9.150000,1262600
2021-10-21,9.100000,9.190000,9.093000,9.140000,9.140000,2058900
2021-10-22,9.060000,9.120000,8.815000,8.890000,8.890000,1855700
2021-10-25,8.870000,8.990000,8.810000,8.890000,8.890000,2466700
2021-10-26,8.940000,8.950000,8.580000,8.650000,8.650000,2756500
2021-10-27,8.640000,8.690000,8.530000,8.560000,8.560000,1916800
2021-10-28,8.550000,8.770000,8.513000,8.730000,8.730000,2383400
2021-10-29,8.680000,8.720000,8.525000,8.610000,8.610000,1734000
2021-11-01,8.670000,8.930000,8.660000,8.790000,8.790000,2287700
2021-11-02,8.760000,8.760000,8.530000,8.650000,8.650000,2232400
2021-11-03,8.620000,9.050000,8.605000,9.000000,9.000000,4045100
2021-11-04,9.040000,9.060000,8.820000,8.880000,8.880000,3717100
2021-11-05,9.950000,10.100000,9.285000,9.580000,9.580000,8340300
2021-11-08,9.670000,10.100000,9.665000,9.880000,9.880000,5455500
2021-11-09,9.910000,10.120000,9.815000,9.890000,9.890000,2733700
2021-11-10,9.860000,10.050000,9.635000,9.670000,9.670000,2603700
2021-11-11,9.990000,10.700000,9.942000,10.460000,10.460000,5751100
2021-11-12,10.490000,11.160000,10.470000,11.160000,11.160000,7228000
2021-11-15,11.200000,11.650000,10.750000,11.620000,11.620000,7402900
2021-11-16,11.430000,11.890000,11.420000,11.640000,11.640000,7051600
2021-11-17,11.630000,11.690000,11.350000,11.550000,11.550000,3429900
2021-11-18,12.050000,12.137000,11.410000,11.450000,11.450000,5400100
2021-11-19,11.320000,11.640000,11.121000,11.170000,11.170000,2608500
2021-11-22,11.190000,11.340000,10.900000,10.910000,10.910000,2860900
2021-11-23,10.600000,10.900000,10.460000,10.640000,10.640000,3664100
2021-11-24,10.465000,10.665000,10.420000,10.490000,10.490000,2458100
2021-11-26,10.170000,10.500000,10.140000,10.270000,10.270000,1611100
2021-11-29,10.440000,10.580000,10.160000,10.330000,10.330000,2541200
2021-11-30,10.340000,10.480000,9.915000,10.000000,10.000000,3563600
2021-12-01,10.320000,10.665000,10.080000,10.080000,10.080000,3103600
2021-12-02,10.100000,10.260000,9.861000,10.260000,10.260000,2064800
2021-12-03,10.250000,10.270000,9.830000,9.880000,9.880000,3020300
2021-12-06,9.840000,10.260000,9.630000,10.120000,10.120000,1970800
2021-12-07,10.320000,10.590000,10.280000,10.510000,10.510000,2260800
2021-12-08,10.570000,10.820000,10.535000,10.790000,10.790000,1864700
2021-12-09,10.690000,10.980000,10.670000,10.760000,10.760000,1973400
2021-12-10,10.790000,10.910000,10.500000,10.660000,10.660000,2235800
2021-12-13,11.000000,11.590000,10.690000,10.700000,10.700000,5366300
2021-12-14,10.250000,10.690000,10.200000,10.620000,10.620000,2781200
2021-12-15,10.600000,10.850000,10.310000,10.840000,10.840000,2056400
2021-12-16,10.870000,10.985000,10.450000,10.530000,10.530000,2093900
2021-12-17,10.530000,10.620000,10.320000,10.460000,10.460000,2589100
2021-12-20,10.190000,10.395000,10.050000,10.360000,10.360000,1920800
2021-12-21,10.540000,10.740000,10.410000,10.680000,10.680000,1353300
2021-12-22,10.620000,10.829000,10.580000,10.760000,10.760000,924500
2021-12-23,10.710000,10.900000,10.650000,10.780000,10.780000,1043400
2021-12-27,10.780000,10.860000,10.620000,10.680000,10.680000,1768200
2021-12-28,10.650000,10.940000,10.590000,10.670000,10.670000,1313800
2021-12-29,10.630000,10.860000,10.570000,10.610000,10.610000,2518800
2021-12-30,10.560000,10.715000,10.460000,10.480000,10.480000,1296100
2021-12-31,10.460000,10.690000,10.270000,10.310000,10.310000,1729900
2022-01-03,10.410000,10.820000,10.410000,10.660000,10.660000,1867900
2022-01-04,10.660000,10.910000,10.600000,10.910000,10.910000,1774300
2022-01-05,10.850000,11.110000,10.560000,10.670000,10.670000,2239500
2022-01-06,10.620000,10.925000,10.540000,10.690000,10.690000,1724300
2022-01-07,10.860000,10.990000,10.590000,10.680000,10.680000,1867800
2022-01-10,10.595000,10.660000,10.170000,10.420000,10.420000,3000500
2022-01-11,10.400000,10.710000,10.190000,10.590000,10.590000,1964300
2022-01-12,10.590000,10.740000,10.480000,10.580000,10.580000,1105700
2022-01-13,10.600000,10.675000,10.400000,10.420000,10.420000,1132000
2022-01-14,10.260000,10.491000,10.260000,10.440000,10.440000,1672100
2022-01-18,10.370000,10.440000,9.970000,10.010000,10.010000,2620500
2022-01-19,10.000000,10.110000,9.690000,9.700000,9.700000,2954300
2022-01-20,9.700000,9.850000,9.150000,9.180000,9.180000,3416800
2022-01-21,9.060000,9.170000,8.800000,8.920000,8.920000,4587200
2022-01-24,8.500000,8.760000,8.110000,8.710000,8.710000,5147100
