Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,5.530000,5.570000,5.460000,5.470000,5.447208,20779000
2021-10-05,5.580000,5.680000,5.570000,5.660000,5.636416,17459800
2021-10-06,5.630000,5.670000,5.540000,5.650000,5.626459,24246800
2021-10-07,5.720000,5.800000,5.710000,5.770000,5.745958,16933400
2021-10-08,5.850000,5.880000,5.780000,5.800000,5.775834,16116500
2021-10-11,5.780000,5.850000,5.760000,5.800000,5.775834,12405100
2021-10-12,5.830000,5.850000,5.780000,5.800000,5.775834,17008300
2021-10-13,5.850000,5.890000,5.820000,5.840000,5.815667,10745600
2021-10-14,5.930000,5.970000,5.910000,5.950000,5.925208,13816600
2021-10-15,5.970000,5.980000,5.890000,5.900000,5.875417,12341800
2021-10-18,5.930000,5.960000,5.900000,5.910000,5.885375,18052100
2021-10-19,5.910000,5.930000,5.840000,5.850000,5.825625,18232400
2021-10-20,5.840000,5.930000,5.830000,5.920000,5.895333,18194700
2021-10-21,5.920000,5.970000,5.900000,5.950000,5.925208,15080400
2021-10-22,5.970000,5.980000,5.870000,5.880000,5.855500,18971000
2021-10-25,5.700000,5.760000,5.640000,5.660000,5.636416,29516000
2021-10-26,5.710000,5.750000,5.660000,5.700000,5.676250,21496800
2021-10-27,5.790000,5.820000,5.740000,5.760000,5.736000,15961200
2021-10-28,5.980000,5.980000,5.770000,5.820000,5.795750,35044400
2021-10-29,5.720000,5.770000,5.650000,5.680000,5.656333,21221300
2021-11-01,5.600000,5.690000,5.560000,5.690000,5.666292,22731400
2021-11-02,5.630000,5.650000,5.550000,5.560000,5.536833,17793500
2021-11-03,5.640000,5.770000,5.610000,5.770000,5.745958,19821100
2021-11-04,5.760000,5.780000,5.660000,5.710000,5.686208,17463100
2021-11-05,5.730000,5.800000,5.700000,5.770000,5.745958,17859500
2021-11-08,5.870000,5.900000,5.800000,5.860000,5.835584,19162300
2021-11-09,5.840000,5.860000,5.770000,5.790000,5.765875,20290700
2021-11-10,5.740000,5.820000,5.650000,5.700000,5.676250,19309100
2021-11-11,5.690000,5.750000,5.680000,5.710000,5.686208,13777600
2021-11-12,5.700000,5.740000,5.680000,5.680000,5.656333,11165000
2021-11-15,5.610000,5.630000,5.570000,5.590000,5.566709,15312100
2021-11-16,5.600000,5.630000,5.580000,5.590000,5.566709,15059200
2021-11-17,5.590000,5.740000,5.580000,5.680000,5.656333,16380600
2021-11-18,5.680000,5.840000,5.620000,5.830000,5.805708,30949000
2021-11-19,5.810000,5.890000,5.800000,5.810000,5.785791,21261100
2021-11-22,5.800000,5.850000,5.680000,5.680000,5.656333,17477300
2021-11-23,5.720000,5.760000,5.630000,5.720000,5.696167,25194100
2021-11-24,5.660000,5.780000,5.650000,5.760000,5.736000,13151100
2021-11-26,5.610000,5.650000,5.480000,5.550000,5.526875,21427900
2021-11-29,5.610000,5.660000,5.580000,5.620000,5.596583,12154900
2021-11-30,5.620000,5.630000,5.480000,5.600000,5.576667,34600400
2021-12-01,5.660000,5.770000,5.560000,5.560000,5.536833,25094700
2021-12-02,5.590000,5.790000,5.580000,5.740000,5.716083,37630500
2021-12-03,5.740000,5.760000,5.590000,5.660000,5.636416,27178700
2021-12-06,5.650000,5.720000,5.520000,5.690000,5.666292,22973500
2021-12-07,5.710000,5.980000,5.690000,5.900000,5.875417,34604200
2021-12-08,5.890000,5.930000,5.820000,5.860000,5.835584,18388700
2021-12-09,5.930000,6.060000,5.910000,5.990000,5.965042,31584000
2021-12-10,6.020000,6.050000,5.960000,6.020000,5.994916,18091100
2021-12-13,5.990000,6.040000,5.960000,5.980000,5.955083,21072800
2021-12-14,5.950000,5.990000,5.890000,5.960000,5.935167,19633000
2021-12-15,5.960000,6.150000,5.920000,6.130000,6.104458,26636000
2021-12-16,6.100000,6.140000,6.030000,6.060000,6.034750,32010000
2021-12-17,5.990000,6.070000,5.960000,6.010000,5.984959,25637100
2021-12-20,5.980000,5.990000,5.840000,5.910000,5.885375,18759900
2021-12-21,5.910000,5.980000,5.890000,5.970000,5.945125,15204500
2021-12-22,5.990000,6.150000,5.980000,6.140000,6.114417,20772700
2021-12-23,6.200000,6.250000,6.180000,6.190000,6.164208,13625900
2021-12-27,6.280000,6.350000,6.240000,6.340000,6.313583,15681700
2021-12-28,6.370000,6.400000,6.280000,6.300000,6.273750,12315300
2021-12-29,6.280000,6.310000,6.260000,6.290000,6.263792,9834900
2021-12-30,6.290000,6.320000,6.260000,6.260000,6.233917,12171400
2021-12-31,6.250000,6.270000,6.160000,6.220000,6.194083,10957100
2022-01-03,6.320000,6.330000,6.230000,6.290000,6.263792,22991400
2022-01-04,6.300000,6.310000,6.220000,6.250000,6.223958,21344900
2022-01-05,6.260000,6.340000,6.130000,6.140000,6.114417,27541300
2022-01-06,6.090000,6.160000,6.020000,6.120000,6.094500,27604400
2022-01-07,6.150000,6.190000,6.080000,6.100000,6.074583,25342500
2022-01-10,6.080000,6.180000,6.040000,6.170000,6.144292,21384500
