Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,2.230000,2.250000,2.170000,2.200000,2.200000,5573800
2021-10-05,2.196000,2.340000,2.185000,2.290000,2.290000,4577900
2021-10-06,2.250000,2.330000,2.214000,2.300000,2.300000,3652800
2021-10-07,2.310000,2.380000,2.240000,2.280000,2.280000,5452400
2021-10-08,2.280000,2.340000,2.250000,2.250000,2.250000,3575800
2021-10-11,2.232000,2.270000,2.210000,2.220000,2.220000,3248000
2021-10-12,2.230000,2.310000,2.220000,2.240000,2.240000,3587500
2021-10-13,2.240000,2.280000,2.230000,2.250000,2.250000,2915100
2021-10-14,2.260000,2.400000,2.260000,2.300000,2.300000,5728900
2021-10-15,2.310000,2.320000,2.220000,2.240000,2.240000,3809100
2021-10-18,2.220000,2.270000,2.200000,2.210000,2.210000,4399000
2021-10-19,2.210000,2.370000,2.200000,2.360000,2.360000,9058300
2021-10-20,2.350000,2.430000,2.260000,2.380000,2.380000,7396500
2021-10-21,2.350000,2.530000,2.340000,2.440000,2.440000,7546200
2021-10-22,2.400000,2.420000,2.290000,2.340000,2.340000,5284600
2021-10-25,2.320000,2.370000,2.290000,2.320000,2.320000,6290900
2021-10-26,2.310000,2.350000,2.250000,2.270000,2.270000,6842900
2021-10-27,2.260000,2.320000,2.230000,2.240000,2.240000,3903300
2021-10-28,2.240000,2.290000,2.210000,2.270000,2.270000,5011900
2021-10-29,2.250000,2.290000,2.200000,2.210000,2.210000,5859000
2021-11-01,2.220000,2.360000,2.200000,2.300000,2.300000,6016000
2021-11-02,2.300000,2.325000,2.240000,2.270000,2.270000,4088800
2021-11-03,2.250000,2.390000,2.240000,2.330000,2.330000,3912200
2021-11-04,2.350000,2.400000,2.310000,2.310000,2.310000,4355600
2021-11-05,2.300000,2.320000,2.210000,2.280000,2.280000,7662700
2021-11-08,2.300000,2.500000,2.290000,2.480000,2.480000,13734400
2021-11-09,2.440000,2.450000,2.300000,2.340000,2.340000,13641000
2021-11-10,2.300000,2.350000,2.230000,2.240000,2.240000,12444400
2021-11-11,2.260000,2.290000,2.210000,2.210000,2.210000,12631400
2021-11-12,2.260000,2.370000,2.190000,2.330000,2.330000,27910900
2021-11-15,2.351000,2.550000,2.320000,2.380000,2.380000,17581600
2021-11-16,2.390000,2.400000,2.280000,2.350000,2.350000,8964600
2021-11-17,2.320000,2.380000,2.220000,2.220000,2.220000,8655600
2021-11-18,2.230000,2.240000,1.990000,2.015000,2.015000,12784000
2021-11-19,2.050000,2.070000,1.990000,2.000000,2.000000,7400400
2021-11-22,2.020000,2.020000,1.830000,1.860000,1.860000,14153800
2021-11-23,1.940000,2.140000,1.940000,2.030000,2.030000,14303500
2021-11-24,2.020000,2.180000,1.960000,2.160000,2.160000,8059200
2021-11-26,2.060000,2.190000,2.060000,2.160000,2.160000,5751200
2021-11-29,2.160000,2.170000,2.000000,2.010000,2.010000,8913800
2021-11-30,2.000000,2.090000,1.930000,2.040000,2.040000,8234100
2021-12-01,2.050000,2.090000,1.900000,1.900000,1.900000,8251300
2021-12-02,1.910000,1.980000,1.870000,1.950000,1.950000,6182300
2021-12-03,1.950000,1.960000,1.800000,1.820000,1.820000,8442100
2021-12-06,1.790000,1.895000,1.710000,1.870000,1.870000,10407500
2021-12-07,1.890000,2.050000,1.890000,2.000000,2.000000,7873900
2021-12-08,1.980000,2.130000,1.965000,2.070000,2.070000,7476400
2021-12-09,2.030000,2.100000,2.010000,2.030000,2.030000,4007600
2021-12-10,2.000000,2.080000,1.930000,1.930000,1.930000,3763300
2021-12-13,1.930000,1.940000,1.840000,1.890000,1.890000,5790600
2021-12-14,1.858000,1.900000,1.790000,1.800000,1.800000,7392400
2021-12-15,1.800000,1.850000,1.720000,1.820000,1.820000,6067300
2021-12-16,1.840000,1.880000,1.790000,1.810000,1.810000,6700700
2021-12-17,1.790000,1.920000,1.755000,1.900000,1.900000,6571600
2021-12-20,1.850000,1.870000,1.770000,1.840000,1.840000,7836200
2021-12-21,1.860000,1.990000,1.840000,1.960000,1.960000,8142500
2021-12-22,1.920000,1.970000,1.880000,1.950000,1.950000,6714100
2021-12-23,1.930000,2.030000,1.920000,2.000000,2.000000,4671000
2021-12-27,1.995000,1.995000,1.930000,1.940000,1.940000,2182200
2021-12-28,1.943000,1.960000,1.850000,1.850000,1.850000,3124900
2021-12-29,1.860000,1.870000,1.780000,1.780000,1.780000,6642200
2021-12-30,1.790000,1.880000,1.780000,1.780000,1.780000,6537700
2021-12-31,1.790000,1.850000,1.750000,1.750000,1.750000,4329600
2022-01-03,1.760000,1.855000,1.725000,1.830000,1.830000,5030100
2022-01-04,1.800000,1.810000,1.710000,1.720000,1.720000,6037400
2022-01-05,1.730000,1.780000,1.620000,1.640000,1.640000,5988600
2022-01-06,1.665000,1.675000,1.580000,1.600000,1.600000,7185300
2022-01-07,1.600000,1.730000,1.596000,1.620000,1.620000,5853200
2022-01-10,1.677000,1.740000,1.650000,1.730000,1.730000,9918600
2022-01-11,1.730000,1.800000,1.640000,1.740000,1.740000,9972300
2022-01-12,1.760000,1.800000,1.700000,1.710000,1.710000,6116100
2022-01-13,1.710000,1.750000,1.650000,1.660000,1.660000,5121800
2022-01-14,1.636000,1.666000,1.600000,1.640000,1.640000,4634800
2022-01-18,1.630000,1.646000,1.550000,1.550000,1.550000,4530300
2022-01-19,1.560000,1.610000,1.540000,1.540000,1.540000,4799700
2022-01-20,1.570000,1.630000,1.520000,1.520000,1.520000,4233400
2022-01-21,1.510000,1.520000,1.420000,1.440000,1.440000,6832500
2022-01-24,1.370000,1.460000,1.300000,1.460000,1.460000,7238800
2022-01-25,1.420000,1.450000,1.350000,1.400000,1.400000,4666500
2022-01-26,1.437000,1.450000,1.340000,1.370000,1.370000,4621600
2022-01-27,1.390000,1.405000,1.300000,1.310000,1.310000,4223500
2022-01-28,1.330000,1.400000,1.300000,1.400000,1.400000,6104800
2022-01-31,1.410000,1.520000,1.400000,1.490000,1.490000,6078700
2022-02-01,1.530000,1.610000,1.485000,1.610000,1.610000,5953400
2022-02-02,1.620000,1.620000,1.520000,1.530000,1.530000,3508500
2022-02-03,1.510000,1.527000,1.440000,1.450000,1.450000,3226500
2022-02-04,1.450000,1.540000,1.450000,1.520000,1.520000,3067400
2022-02-07,1.520000,1.590000,1.510000,1.550000,1.550000,3213400
2022-02-08,1.540000,1.580000,1.511000,1.580000,1.580000,3200300
2022-02-09,1.620000,1.690000,1.600000,1.670000,1.670000,5448400
2022-02-10,1.650000,1.720000,1.612000,1.660000,1.660000,5378700
2022-02-11,1.660000,1.740000,1.630000,1.720000,1.720000,9834300
2022-02-14,1.670000,1.725000,1.590000,1.600000,1.600000,5719100
2022-02-15,1.630000,1.710000,1.620000,1.710000,1.710000,6163100
2022-02-16,1.690000,1.740000,1.650000,1.680000,1.680000,5175000
2022-02-17,1.680000,1.690000,1.600000,1.600000,1.600000,2636300
2022-02-18,1.610000,1.612000,1.523000,1.530000,1.530000,3463300
2022-02-22,1.520000,1.530000,1.440000,1.460000,1.460000,4130700
2022-02-23,1.480000,1.510000,1.400000,1.400000,1.400000,3205000
2022-02-24,1.320000,1.480000,1.300000,1.480000,1.480000,4151000
2022-02-25,1.480000,1.500000,1.430000,1.490000,1.490000,2472200
2022-02-28,1.462000,1.520000,1.440000,1.490000,1.490000,4124700
2022-03-01,1.520000,1.520000,1.430000,1.470000,1.470000,2582300
2022-03-02,1.470000,1.500000,1.422000,1.470000,1.470000,2647100
2022-03-03,1.480000,1.480000,1.400000,1.410000,1.410000,3141300
2022-03-04,1.400000,1.417000,1.350000,1.380000,1.380000,2667300
