Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,6.670000,6.720000,6.300000,6.300000,6.300000,10192820
2021-10-05,6.330000,6.550000,6.300000,6.410000,6.410000,7508780
2021-10-06,6.320000,6.440000,6.110000,6.350000,6.350000,5945070
2021-10-07,6.400000,6.580000,6.310000,6.480000,6.480000,9163330
2021-10-08,7.400000,7.450000,6.710000,6.800000,6.800000,22060370
2021-10-11,6.740000,7.100000,6.710000,6.750000,6.750000,6125520
2021-10-12,6.730000,6.890000,6.600000,6.630000,6.630000,6735920
2021-10-13,6.670000,6.730000,6.500000,6.630000,6.630000,6335930
2021-10-14,6.650000,6.860000,6.600000,6.640000,6.640000,7304390
2021-10-15,6.720000,6.720000,6.550000,6.560000,6.560000,5466530
2021-10-18,6.550000,6.560000,6.430000,6.510000,6.510000,6089520
2021-10-19,6.520000,7.100000,6.440000,6.890000,6.890000,18199450
2021-10-20,6.770000,6.950000,6.640000,6.800000,6.800000,8126510
2021-10-21,6.720000,7.570000,6.700000,6.990000,6.990000,32261140
2021-10-22,6.850000,6.940000,6.520000,6.600000,6.600000,10424550
2021-10-25,6.590000,6.790000,6.510000,6.650000,6.650000,6573110
2021-10-26,6.680000,6.750000,6.580000,6.650000,6.650000,5731210
2021-10-27,6.660000,6.830000,6.510000,6.530000,6.530000,5206880
2021-10-28,6.540000,6.650000,6.530000,6.610000,6.610000,6192420
2021-10-29,6.560000,6.650000,6.500000,6.500000,6.500000,5115690
2021-11-01,6.550000,6.800000,6.500000,6.570000,6.570000,8686710
2021-11-02,6.640000,6.650000,6.500000,6.510000,6.510000,6037270
2021-11-03,6.540000,6.760000,6.480000,6.590000,6.590000,9512220
2021-11-04,6.650000,6.750000,6.500000,6.530000,6.530000,7928420
2021-11-05,6.540000,6.610000,6.310000,6.430000,6.430000,9940870
2021-11-08,6.480000,7.060000,6.470000,7.000000,7.000000,20918830
2021-11-09,6.940000,7.300000,6.620000,7.200000,7.200000,11237770
2021-11-10,7.030000,7.110000,6.740000,6.780000,6.780000,6554740
2021-11-11,6.850000,7.290000,6.840000,7.200000,7.200000,16415300
2021-11-12,9.150000,9.600000,8.000000,9.200000,9.200000,89319540
2021-11-15,9.000000,9.490000,8.300000,8.300000,8.300000,36076510
2021-11-16,8.150000,8.580000,7.820000,8.350000,8.350000,25455440
2021-11-17,8.240000,8.340000,7.820000,7.940000,7.940000,12596750
2021-11-18,7.970000,7.970000,7.350000,7.450000,7.450000,12841820
2021-11-19,7.590000,7.760000,7.200000,7.310000,7.310000,11231730
2021-11-22,7.230000,7.250000,6.700000,6.900000,6.900000,12238700
2021-11-23,6.830000,7.050000,6.610000,6.720000,6.720000,8355760
2021-11-24,6.700000,6.890000,6.550000,6.760000,6.760000,8207570
2021-11-26,6.500000,6.680000,6.410000,6.540000,6.540000,6079370
2021-11-29,6.590000,6.650000,6.350000,6.350000,6.350000,8970730
2021-11-30,6.350000,6.410000,6.010000,6.220000,6.220000,11400140
2021-12-01,6.320000,6.380000,5.590000,5.660000,5.660000,14549830
2021-12-02,5.770000,6.050000,5.700000,5.920000,5.920000,11921300
2021-12-03,5.990000,6.000000,5.510000,5.640000,5.640000,10539250
2021-12-06,5.540000,5.840000,5.300000,5.740000,5.740000,9074320
2021-12-07,5.860000,6.150000,5.860000,5.980000,5.980000,8440930
2021-12-08,6.100000,6.400000,5.970000,6.170000,6.170000,8965590
2021-12-09,6.120000,6.300000,5.950000,5.970000,5.970000,5788220
2021-12-10,6.040000,6.050000,5.750000,5.860000,5.860000,5614330
2021-12-13,5.810000,5.810000,5.560000,5.700000,5.700000,5576220
