Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,11.020000,11.110000,10.680000,10.740000,10.740000,14980700
2021-10-05,10.750000,11.340000,10.680000,11.100000,11.100000,18162500
2021-10-06,10.900000,10.940000,10.680000,10.790000,10.790000,18595400
2021-10-07,10.820000,11.420000,10.370000,11.020000,11.020000,34914000
2021-10-08,10.850000,11.080000,10.460000,10.490000,10.490000,20231500
2021-10-11,10.370000,10.610000,10.150000,10.160000,10.160000,12642500
2021-10-12,10.160000,10.560000,10.120000,10.280000,10.280000,13749900
2021-10-13,10.340000,10.540000,10.200000,10.290000,10.290000,10136900
2021-10-14,10.420000,10.810000,10.370000,10.390000,10.390000,14890300
2021-10-15,10.460000,10.530000,10.190000,10.240000,10.240000,13108300
2021-10-18,10.210000,10.240000,9.980000,10.070000,10.070000,13975100
2021-10-19,10.170000,11.830000,10.030000,11.660000,11.660000,68798000
2021-10-20,11.550000,11.800000,11.020000,11.590000,11.590000,44082000
2021-10-21,11.460000,12.160000,11.420000,11.560000,11.560000,30666900
2021-10-22,11.530000,11.530000,10.940000,11.080000,11.080000,18841500
2021-10-25,11.050000,11.290000,10.880000,11.000000,11.000000,13868500
2021-10-26,11.070000,11.140000,10.580000,10.710000,10.710000,15137800
2021-10-27,10.700000,10.830000,10.290000,10.300000,10.300000,15093900
2021-10-28,10.330000,10.570000,10.190000,10.500000,10.500000,11171600
2021-10-29,10.430000,10.640000,10.220000,10.300000,10.300000,11177500
2021-11-01,10.240000,10.880000,10.100000,10.750000,10.750000,17396100
2021-11-02,10.720000,10.730000,10.240000,10.420000,10.420000,14972500
2021-11-03,10.380000,11.090000,10.320000,10.860000,10.860000,17924500
2021-11-04,11.130000,11.280000,10.700000,10.810000,10.810000,14915500
2021-11-05,10.750000,10.770000,10.160000,10.700000,10.700000,24516500
2021-11-08,10.740000,12.570000,10.690000,12.370000,12.370000,48931600
2021-11-09,12.140000,12.710000,11.510000,12.380000,12.380000,33221600
2021-11-10,11.990000,12.450000,11.400000,11.520000,11.520000,21170700
2021-11-11,11.670000,12.130000,11.570000,11.860000,11.860000,17104100
2021-11-12,12.570000,13.070000,12.110000,12.940000,12.940000,56200800
2021-11-15,13.370000,13.950000,12.970000,13.030000,13.030000,61294100
2021-11-16,12.780000,13.300000,12.260000,12.970000,12.970000,28670000
2021-11-17,12.730000,13.150000,12.300000,12.340000,12.340000,16254700
2021-11-18,11.920000,12.140000,10.700000,10.900000,10.900000,42792400
2021-11-19,11.200000,11.400000,10.700000,10.930000,10.930000,24096900
2021-11-22,11.200000,11.200000,10.220000,10.490000,10.490000,23342600
2021-11-23,10.470000,10.910000,10.240000,10.500000,10.500000,18239100
2021-11-24,10.530000,11.050000,10.320000,10.900000,10.900000,15538500
2021-11-26,10.430000,10.730000,10.300000,10.570000,10.570000,12165000
2021-11-29,10.600000,10.620000,10.030000,10.250000,10.250000,20593400
2021-11-30,10.190000,10.510000,9.650000,10.120000,10.120000,21916200
2021-12-01,10.200000,10.260000,9.130000,9.270000,9.270000,29217800
2021-12-02,9.260000,9.600000,9.100000,9.540000,9.540000,21379100
2021-12-03,9.510000,9.550000,8.690000,8.950000,8.950000,26001700
2021-12-06,8.800000,9.350000,8.440000,9.150000,9.150000,18864900
2021-12-07,9.320000,9.640000,9.250000,9.440000,9.440000,16530900
2021-12-08,9.540000,9.940000,9.230000,9.610000,9.610000,16712300
2021-12-09,9.500000,9.750000,8.920000,8.940000,8.940000,19085100
2021-12-10,8.990000,9.070000,8.510000,8.620000,8.620000,20146000
2021-12-13,8.540000,8.580000,8.080000,8.290000,8.290000,20232400
2021-12-14,8.020000,8.440000,7.940000,8.050000,8.050000,16321800
2021-12-15,8.030000,8.230000,7.670000,8.140000,8.140000,22453700
2021-12-16,8.190000,8.400000,7.760000,7.880000,7.880000,18551100
2021-12-17,7.680000,8.110000,7.400000,7.980000,7.980000,27247800
2021-12-20,7.710000,7.830000,7.310000,7.460000,7.460000,22899900
2021-12-21,7.500000,7.930000,7.470000,7.850000,7.850000,19972200
2021-12-22,7.750000,7.890000,7.580000,7.740000,7.740000,12366300
2021-12-23,7.760000,7.960000,7.530000,7.840000,7.840000,16615900
2021-12-27,7.850000,7.850000,7.530000,7.610000,7.610000,16313100
2021-12-28,7.550000,7.680000,7.250000,7.280000,7.280000,18199300
2021-12-29,7.270000,7.380000,6.970000,7.050000,7.050000,23466400
2021-12-30,7.020000,7.560000,7.000000,7.280000,7.280000,28741300
2021-12-31,7.210000,7.490000,7.030000,7.030000,7.030000,20258500
2022-01-03,7.190000,7.700000,7.080000,7.390000,7.390000,21556900
2022-01-04,7.460000,7.480000,6.960000,7.110000,7.110000,24622800
2022-01-05,7.060000,7.290000,6.610000,6.630000,6.630000,30015800
2022-01-06,6.670000,6.840000,6.360000,6.440000,6.440000,27322300
2022-01-07,6.510000,6.770000,6.290000,6.420000,6.420000,27456500
2022-01-10,7.160000,7.840000,6.950000,7.290000,7.290000,107145700
2022-01-11,6.960000,7.560000,6.800000,7.380000,7.380000,33490300
2022-01-12,7.490000,7.700000,7.070000,7.150000,7.150000,23457700
2022-01-13,7.200000,7.310000,6.850000,6.870000,6.870000,16643300
2022-01-14,6.770000,6.950000,6.630000,6.860000,6.860000,18055500
2022-01-18,6.670000,6.790000,6.270000,6.290000,6.290000,21597000
2022-01-19,6.320000,6.410000,5.940000,5.970000,5.970000,25170900
2022-01-20,6.000000,6.340000,5.900000,5.920000,5.920000,24224700
2022-01-21,5.830000,6.080000,5.700000,5.790000,5.790000,25137900
2022-01-24,5.510000,5.850000,5.200000,5.840000,5.840000,28766400
2022-01-25,5.660000,5.870000,5.550000,5.720000,5.720000,15242400
2022-01-26,5.860000,5.870000,5.460000,5.560000,5.560000,20766700
2022-01-27,5.570000,5.630000,5.150000,5.220000,5.220000,24067200
2022-01-28,5.240000,5.520000,5.150000,5.480000,5.480000,19750600
2022-01-31,5.500000,6.010000,5.470000,5.960000,5.960000,18665900
2022-02-01,6.050000,6.360000,5.840000,6.220000,6.220000,20392700
2022-02-02,6.170000,6.250000,5.890000,5.980000,5.980000,15233700
2022-02-03,5.820000,5.920000,5.630000,5.650000,5.650000,11710900
2022-02-04,5.670000,6.020000,5.630000,5.950000,5.950000,14283900
2022-02-07,6.030000,6.230000,5.910000,6.030000,6.030000,14856100
2022-02-08,6.010000,6.260000,5.920000,6.250000,6.250000,12634800
2022-02-09,6.420000,6.970000,6.350000,6.920000,6.920000,28831200
2022-02-10,6.700000,7.390000,6.540000,7.000000,7.000000,30866200
2022-02-11,6.920000,7.360000,6.840000,7.120000,7.120000,31709600
2022-02-14,7.110000,7.330000,6.690000,6.720000,6.720000,20311900
2022-02-15,6.910000,7.190000,6.850000,7.150000,7.150000,14703300
2022-02-16,7.070000,7.480000,6.920000,7.200000,7.200000,17451600
2022-02-17,7.060000,7.190000,6.660000,6.710000,6.710000,15178900
