Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,5.130000,5.200000,4.810000,4.850000,4.850000,68660900
2021-10-05,4.840000,5.050000,4.750000,4.780000,4.780000,34065600
2021-10-06,4.690000,5.020000,4.610000,4.900000,4.900000,39890200
2021-10-07,5.000000,5.365000,4.950000,5.180000,5.180000,34014200
2021-10-08,5.220000,5.290000,4.980000,5.010000,5.010000,17697600
2021-10-11,5.010000,5.260000,4.880000,4.920000,4.920000,22773800
2021-10-12,4.940000,5.140000,4.920000,5.080000,5.080000,16315900
2021-10-13,5.100000,5.270000,5.020000,5.180000,5.180000,19643400
2021-10-14,5.240000,5.300000,5.100000,5.160000,5.160000,18267000
2021-10-15,5.182000,5.250000,5.030000,5.040000,5.040000,20806400
2021-10-18,5.000000,5.090000,4.920000,5.020000,5.020000,17833500
2021-10-19,5.040000,5.550000,4.990000,5.320000,5.320000,45478200
2021-10-20,5.390000,6.310000,5.320000,6.090000,6.090000,126023800
2021-10-21,5.995000,6.073000,5.695000,5.820000,5.820000,54690300
2021-10-22,5.600000,5.670000,5.170000,5.200000,5.200000,41141200
2021-10-25,5.250000,5.630000,5.190000,5.500000,5.500000,23177700
2021-10-26,5.465000,5.560000,5.210000,5.240000,5.240000,25019300
2021-10-27,5.280000,5.400000,4.950000,4.960000,4.960000,28768200
2021-10-28,5.010000,5.290000,4.950000,5.250000,5.250000,23621400
2021-10-29,5.154000,5.235000,5.030000,5.100000,5.100000,20742400
2021-11-01,5.120000,5.500000,5.100000,5.450000,5.450000,23633100
2021-11-02,5.440000,5.450000,5.080000,5.210000,5.210000,23724600
2021-11-03,5.220000,5.360000,5.110000,5.210000,5.210000,23392000
2021-11-04,5.220000,5.301000,5.050000,5.070000,5.070000,20795000
2021-11-05,5.100000,5.100000,4.880000,4.930000,4.930000,29404900
2021-11-08,4.975000,5.340000,4.960000,5.210000,5.210000,34869200
2021-11-09,5.280000,5.595000,5.270000,5.490000,5.490000,40530500
2021-11-10,5.470000,5.530000,5.010000,5.100000,5.100000,58784100
2021-11-11,5.070000,5.970000,5.060000,5.470000,5.470000,88308800
2021-11-12,5.560000,5.570000,5.280000,5.410000,5.410000,21494000
2021-11-15,5.360000,5.490000,5.140000,5.180000,5.180000,20290900
2021-11-16,5.140000,5.142000,4.930000,5.070000,5.070000,24169400
2021-11-17,5.020000,5.030000,4.750000,4.770000,4.770000,34466400
2021-11-18,4.750000,4.760000,4.340000,4.390000,4.390000,38840500
2021-11-19,4.410000,4.490000,4.250000,4.250000,4.250000,20920900
2021-11-22,4.310000,4.320000,3.970000,4.100000,4.100000,37460900
2021-11-23,4.075000,4.190000,3.900000,3.970000,3.970000,28789900
2021-11-24,3.700000,4.075000,3.570000,3.970000,3.970000,41562500
2021-11-26,3.800000,3.980000,3.800000,3.920000,3.920000,14397500
2021-11-29,3.930000,3.990000,3.820000,3.960000,3.960000,19943800
2021-11-30,3.860000,3.950000,3.550000,3.730000,3.730000,41486400
2021-12-01,3.760000,3.820000,3.350000,3.350000,3.350000,35483400
2021-12-02,3.330000,3.500000,3.240000,3.360000,3.360000,24196200
2021-12-03,3.420000,3.420000,3.150000,3.280000,3.280000,32838800
2021-12-06,3.230000,3.700000,3.110000,3.610000,3.610000,37665000
2021-12-07,3.605000,3.850000,3.600000,3.740000,3.740000,19121200
2021-12-08,3.753000,3.950000,3.630000,3.780000,3.780000,20164400
2021-12-09,3.712000,3.860000,3.600000,3.600000,3.600000,15899500
2021-12-10,3.655000,3.700000,3.490000,3.580000,3.580000,13363700
2021-12-13,3.560000,3.630000,3.330000,3.410000,3.410000,15333200
2021-12-14,3.282000,3.340000,3.190000,3.190000,3.190000,20731000
2021-12-15,3.180000,3.280000,2.970000,3.220000,3.220000,27559200
2021-12-16,3.275000,3.320000,3.055000,3.110000,3.110000,16783600
2021-12-17,3.010000,3.300000,2.940000,3.230000,3.230000,22705100
2021-12-20,3.110000,3.220000,3.060000,3.090000,3.090000,15237500
2021-12-21,3.140000,3.580000,3.140000,3.540000,3.540000,36153200
2021-12-22,3.460000,3.620000,3.420000,3.480000,3.480000,21699600
2021-12-23,3.470000,3.650000,3.320000,3.580000,3.580000,19297700
2021-12-27,3.505000,3.535000,3.330000,3.360000,3.360000,16259400
2021-12-28,3.310000,3.417000,3.180000,3.190000,3.190000,15023000
2021-12-29,3.187000,3.210000,2.980000,3.010000,3.010000,22613700
2021-12-30,3.020000,3.370000,2.992000,3.220000,3.220000,29822400
2021-12-31,3.210000,3.329000,3.090000,3.110000,3.110000,21354200
2022-01-03,3.150000,3.260000,3.010000,3.220000,3.220000,23016100
2022-01-04,3.170000,3.235000,2.950000,3.040000,3.040000,32806500
2022-01-05,3.010000,3.045000,2.785000,2.790000,2.790000,29788300
2022-01-06,2.770000,2.815000,2.570000,2.720000,2.720000,27287900
2022-01-07,2.690000,2.840000,2.681000,2.760000,2.760000,16431500
2022-01-10,2.670000,2.690000,2.510000,2.590000,2.590000,26165000
2022-01-11,2.590000,2.890000,2.550000,2.790000,2.790000,26749900
2022-01-12,2.800000,2.868000,2.710000,2.720000,2.720000,15142300
2022-01-13,2.730000,2.750000,2.530000,2.530000,2.530000,14902200
2022-01-14,2.500000,2.590000,2.440000,2.530000,2.530000,18071100
2022-01-18,2.480000,2.600000,2.440000,2.470000,2.470000,18813200
2022-01-19,2.480000,2.590000,2.430000,2.450000,2.450000,16870900
2022-01-20,2.490000,2.720000,2.480000,2.500000,2.500000,21562300
2022-01-21,2.490000,2.635000,2.410000,2.470000,2.470000,27683000
2022-01-24,2.380000,2.400000,2.100000,2.380000,2.380000,35735900
2022-01-25,2.290000,2.390000,2.220000,2.300000,2.300000,16224500
2022-01-26,2.345000,2.570000,2.310000,2.360000,2.360000,30351300
2022-01-27,2.420000,2.450000,2.220000,2.230000,2.230000,18913900
2022-01-28,2.220000,2.350000,2.140000,2.310000,2.310000,18071800
2022-01-31,2.340000,2.680000,2.340000,2.650000,2.650000,28052500
2022-02-01,2.764000,2.930000,2.610000,2.860000,2.860000,27487600
2022-02-02,2.900000,2.900000,2.560000,2.580000,2.580000,23376900
2022-02-03,2.460000,2.540000,2.300000,2.310000,2.310000,16840800
2022-02-04,2.360000,2.390000,2.250000,2.350000,2.350000,22380600
2022-02-07,2.370000,2.490000,2.300000,2.300000,2.300000,16471000
2022-02-08,2.280000,2.375000,2.260000,2.340000,2.340000,20998100
2022-02-09,2.380000,2.540000,2.340000,2.530000,2.530000,41964900
2022-02-10,2.430000,2.650000,2.400000,2.440000,2.440000,23404200
2022-02-11,2.450000,2.525000,2.250000,2.260000,2.260000,24051000
2022-02-14,2.260000,2.350000,2.200000,2.240000,2.240000,20904700
2022-02-15,2.340000,2.670000,2.320000,2.650000,2.650000,30348200
2022-02-16,2.550000,2.607000,2.480000,2.510000,2.510000,15195300
2022-02-17,2.478000,2.490000,2.300000,2.320000,2.320000,17768100
2022-02-18,2.340000,2.360000,2.160000,2.170000,2.170000,37131400
2022-02-22,2.100000,2.180000,2.000000,2.050000,2.050000,31350200
2022-02-23,2.120000,2.120000,1.980000,2.010000,2.010000,26314500
2022-02-24,1.850000,2.210000,1.830000,2.180000,2.180000,28251900
